Country,Year,Y,Ymu,Yvar,YmuMinus,YmuPlus,AE,APE,CI
IRN,2022,,110373.4080364841,1.000122665503916,63176.43547852357,157570.3805944446,,,94394.0
IRN,2023,,110373.4080266726,1.000122665503917,63176.4354687121,157570.3805846332,,,94394.0
IRQ,2017,635125.0,191425.827406007,0.8471752276871125,-787713.4693833675,1170565.124195381,443699.0,70.0,1958279.0
IRQ,2018,628999.0,51732.10919093224,1.020207260402831,-1022757.10861054,1126221.326992404,577267.0,92.0,2148978.0
IRQ,2019,,-45971.89223205135,1.256340320908466,-1238343.16979116,1146399.385327057,,,2384743.0
IRQ,2020,,-99246.81817509804,1.554022089480043,-1425377.889572438,1226884.253222242,,,2652262.0
IRQ,2021,,-109545.8434574021,1.903942650591973,-1577406.358358833,1358314.671444029,,,2935721.0
IRQ,2022,,-81518.19885711267,2.290075645297414,-1691358.409169077,1528322.011454852,,,3219680.0
IRQ,2023,,-22074.46459308069,2.692096445605838,-1767507.390241038,1723358.461054877,,,3490866.0
KEN,2017,13262.0,10476.81423387487,0.7055024488265109,2839.335354189516,18114.29311356023,2785.0,21.0,15275.0
KEN,2018,14735.0,10303.60205644778,0.7784317344418138,2281.078041823859,18326.1260710717,4431.0,30.0,16045.0
KEN,2019,,10082.53660211471,0.8602912312965263,1648.73252892361,18516.34067530581,,,16868.0
KEN,2020,,9833.548022003679,0.9414279629857794,1010.99440322476,18656.1016407826,,,17645.0
KEN,2021,,9579.063816602975,1.01310076197002,426.8305526541317,18731.29708055182,,,18304.0
KEN,2022,,9339.097877343771,1.06989819853091,-66.18771840300906,18744.38347309055,,,18811.0
KEN,2023,,9128.122989421157,1.110471067536611,-453.8376693087448,18710.08364815106,,,19164.0
LBN,2017,14551.0,10980.73688790489,0.8530201626279343,883.4649664230037,21078.00880938679,3570.0,25.0,20195.0
LBN,2018,13614.0,10767.33196802221,0.898668936657081,403.4067930063193,21131.25714303811,2847.0,21.0,20728.0
LBN,2019,,10689.07498000943,0.951324668496158,25.8448284661863,21352.30513155268,,,21326.0
LBN,2020,,10730.69399512121,1.008864304737134,-250.277947417464,21711.66593765988,,,21962.0
LBN,2021,,10871.92924136019,1.068649509046844,-429.7258462032423,22173.58432892362,,,22603.0
LBN,2022,,11089.82700486492,1.127883287538114,-520.8216838154949,22700.47569354535,,,23221.0
LBN,2023,,11360.86836058287,1.183972779693508,-534.975703927792,23256.71242509354,,,23792.0
LBR,2017,9353.0,54571.83512136622,0.1849550199331099,-171252.2195759186,280395.889818651,45219.0,483.0,451648.0
LBR,2018,8413.0,76605.72430201556,0.2474949501589021,-184622.6275762588,337834.0761802899,68193.0,811.0,522457.0
LBR,2019,,101555.7294355401,0.3343306386178609,-202060.6718275834,405172.1306986636,,,607233.0
LBR,2020,,128448.5266254359,0.4391296031020605,-219514.8182840393,476411.8715349111,,,695927.0
LBR,2021,,156178.2735584873,0.5510047702893464,-233597.4790089028,545954.0261258774,,,779552.0
LBR,2022,,183556.106751438,0.6579020369018158,-242353.8126466717,609466.0261495477,,,851820.0
LBR,2023,,209430.8413913517,0.7500977270579168,-245343.6157282342,664205.2985109375,,,909549.0
LBY,2017,18012.0,17155.12288440219,0.1155209562314889,14707.40479626582,19602.84097253856,857.0,5.0,4895.0
LBY,2018,20590.0,20100.47561800082,0.2011532468539416,16870.53503588411,23330.41620011752,490.0,2.0,6460.0
LBY,2019,,23056.81548646068,0.3618296690017361,18724.86885995492,27388.76211296644,,,8664.0
LBY,2020,,25904.73125781263,0.6323257043728001,20178.07087962041,31631.39163600484,,,11453.0
LBY,2021,,28526.20588314973,1.049651810404886,21147.9512498846,35904.46051641486,,,14757.0
LBY,2022,,30812.7490656714,1.647988107341458,21567.72499398958,40057.77313735323,,,18490.0
LBY,2023,,32672.56177555486,2.452991635106255,21393.34240803655,43951.78114307317,,,22558.0
MDG,2017,355.0,404.7417597316238,0.1408145435560489,290.9238367816071,518.5596826816404,50.0,14.0,228.0
MDG,2018,391.0,385.4665261171596,0.1958876897197387,251.2238898760704,519.7091623582489,6.0,1.0,268.0
MDG,2019,,360.079471892569,0.2762651103597145,200.6568597986505,519.5020839864874,,,319.0
MDG,2020,,330.9974593944117,0.3788598201617161,144.305258983631,517.6896598051925,,,373.0
MDG,2021,,300.8891307819564,0.4954867820016367,87.38664453640776,514.3916170275049,,,427.0
MDG,2022,,272.2205479137971,0.6150158079167088,34.35582408229675,510.0852717452973,,,476.0
MDG,2023,,246.9010931577577,0.7264267614583284,-11.61216282320584,505.4143491387213,,,517.0
MEX,2017,96731.0,89380.07815150228,0.3162693336991467,69413.04079236276,109347.1155106418,7351.0,8.0,39934.0
MEX,2018,102616.0,109090.4787589838,0.5546571985147892,82648.28912023356,135532.6683977339,6474.0,6.0,52884.0
MEX,2019,,128783.9994230088,0.9993011606421902,93291.76963515203,164276.2292108657,,,70984.0
MEX,2020,,147425.3620624579,1.737621017879981,100623.55528926,194227.1688356558,,,93604.0
MEX,2021,,164044.8772023226,2.853547636903954,104068.8558828857,224020.8985217594,,,119952.0
MEX,2022,,177814.1044609556,4.411417507461977,103242.3827972545,252385.8261246568,,,149143.0
MEX,2023,,188104.4553535433,6.44084195110009,97997.89536768543,278211.0153394013,,,180213.0
MLI,2017,165369.0,172371.5951412642,0.45482171400865,86205.10800782568,258538.0822747027,7003.0,4.0,172333.0
MLI,2018,169081.0,157874.845396313,0.7492643288120228,47279.88915746232,268469.8016351636,11206.0,7.0,221190.0
MLI,2019,,136776.4566948124,1.230409035623243,-4947.26499202181,278500.1783816466,,,283447.0
MLI,2020,,112708.1570953708,1.899945969047889,-63403.62747282831,288819.94166357,,,352224.0
MLI,2021,,89078.13811560767,2.713968428171486,-121406.3948866936,299562.671117909,,,420969.0
MLI,2022,,68504.18131465068,3.593153320443253,-173685.5174811228,310693.8801104242,,,484379.0
MLI,2023,,52534.5128206482,4.446446407572086,-216882.0701641566,321951.095805453,,,538833.0
MMR,2017,1197802.0,510540.7890350073,0.2176119442996369,366215.1688570002,654866.4092130144,687261.0,57.0,288651.0
MMR,2018,1175578.0,487913.9749123969,0.3213566186365044,312527.6643848679,663300.285439926,687664.0,58.0,350773.0
MMR,2019,,460621.6604460707,0.4770586854676699,246929.8043439067,674313.5165482347,,,427384.0
MMR,2020,,431192.1140483453,0.6778190649435596,176474.511888035,685909.7162086556,,,509435.0
MMR,2021,,401772.6678371805,0.9050598002979772,107438.4828746255,696106.8527997355,,,588668.0
MMR,2022,,374007.2160723968,1.13410082379508,44528.09354801499,703486.3385967787,,,658958.0
MMR,2023,,349011.9578726544,1.341735111958234,-9361.188993746007,707385.1047390547,,,716746.0
MOZ,2017,12610.0,42351.70472993422,0.253652269885187,-409431.634256299,494135.0437161674,29742.0,236.0,903567.0
MOZ,2018,8997.0,68797.11209294197,0.3539238506284238,-464864.2366203079,602458.4608061919,59800.0,665.0,1067323.0
MOZ,2019,,96242.29193820953,0.5103386854952873,-544583.6426983938,737068.2265748128,,,1281652.0
MOZ,2020,,122831.9788764905,0.7318300194399666,-644557.6833189919,890221.6410719729,,,1534779.0
MOZ,2021,,147073.2507821352,1.020750148267426,-759223.786186102,1053370.287750372,,,1812594.0
MOZ,2022,,167937.8289183798,1.371449396997915,-882573.4708141579,1218449.128650917,,,2101023.0
MOZ,2023,,184883.1526721211,1.770485046676532,-1008711.778544151,1378478.083888393,,,2387190.0
MRT,2017,44023.0,43640.28214516025,0.3129612136929244,23401.37629935775,63879.18799096275,383.0,1.0,40478.0
MRT,2018,45121.0,45133.73290523898,0.4031802560417487,22162.12475404282,68105.34105643514,13.0,0.0,45943.0
MRT,2019,,46613.45186751623,0.5261851884370727,20370.59686763807,72856.30686739439,,,52486.0
MRT,2020,,47936.063540956,0.6739034751508989,18237.14608531278,77634.98099659922,,,59398.0
MRT,2021,,49004.1243268343,0.8325533689485676,15993.95039867668,82014.29825499191,,,66020.0
MRT,2022,,49774.24242294799,0.9865368411431258,13840.83302906757,85707.65181682841,,,71867.0
MRT,2023,,50252.12422337385,1.122618732541335,11920.43894473081,88583.80950201691,,,76663.0
NER,2017,3750.0,2369.546140696842,0.6885623427768781,-8840.6232914361,13579.71557282979,1380.0,37.0,22420.0
NER,2018,4732.0,2481.099780441029,0.743155884698643,-9164.999911169154,14127.19947205121,2251.0,48.0,23292.0
NER,2019,,2595.992231396816,0.8086054928529667,-9552.122542115609,14744.10700490924,,,24296.0
NER,2020,,2718.114976084592,0.8824920979008735,-9972.888277977947,15409.11823014713,,,25382.0
NER,2021,,2848.827361894127,0.9614166423085684,-10397.52674551367,16095.18146930192,,,26493.0
NER,2022,,2987.245143713317,1.041482216403514,-10799.64998665895,16774.14027408558,,,27574.0
NER,2023,,3130.782135336403,1.118842603632904,-11158.98134139713,17420.54561206994,,,28580.0
NGA,2017,330832.0,424125.9205051977,0.06363675691813812,390846.2612404139,457405.5797699815,93294.0,28.0,66559.0
NGA,2018,361387.0,573430.59031364,0.1723697903523863,518658.9902431487,628202.190384131,212044.0,59.0,109543.0
NGA,2019,,745435.9875057418,0.4457769199565952,657354.7026228819,833517.2723886017,,,176163.0
NGA,2020,,936545.9684368352,1.036734295689778,802220.4317600754,1070871.505113595,,,268651.0
NGA,2021,,1141799.567337997,2.176775160573195,947159.7724857278,1336439.362190265,,,389280.0
NGA,2022,,1355121.160646502,4.185081970131487,1085237.348507808,1625004.972785196,,,539768.0
NGA,2023,,1569656.337697704,7.465035218567388,1209209.863125921,1930102.812269487,,,720893.0
NIC,2017,4186.0,3697.70486510071,0.02375136422203899,-797.6227684081005,8193.032498609517,488.0,12.0,8991.0
NIC,2018,33917.0,4488.097570331493,0.05796435930139226,-2534.496898778216,11510.6920394412,29429.0,87.0,14045.0
NIC,2019,,5620.708749275198,0.1342283009322171,-5065.880488238679,16307.29798678907,,,21373.0
NIC,2020,,7102.067312087323,0.2773136297565992,-8258.33808423013,22462.47270840478,,,30721.0
NIC,2021,,8879.12950996113,0.5119328943252527,-11990.9252336159,29749.18425353816,,,41740.0
NIC,2022,,10848.82052669703,0.8560147473314811,-16138.37114483784,37836.0121982319,,,53974.0
NIC,2023,,12876.85742342539,1.314364166756226,-20563.80913449986,46317.52398135065,,,66881.0
NPL,2017,21568.0,23067.77968950253,0.01394356678979402,21714.03103712332,24421.52834188174,1500.0,7.0,2707.0
NPL,2018,17634.0,25492.24832367968,0.03745346930570292,23273.55578482349,27710.94086253587,7858.0,45.0,4437.0
NPL,2019,,27381.31003938249,0.09308905911554,23883.46619628658,30879.1538824784,,,6996.0
NPL,2020,,28571.51957630755,0.202816069281015,23408.5177648389,33734.52138777621,,,10326.0
NPL,2021,,28969.65799324538,0.3908277969987966,21802.55213619728,36136.76385029347,,,14334.0
NPL,2022,,28561.85172078951,0.6778284449306744,19123.17760605851,38000.5258355205,,,18877.0
NPL,2023,,27410.38688729204,1.074680789161171,15525.61530071631,39295.15847386776,,,23770.0
PAK,2017,205772.0,266024.7385972194,0.5494437644068286,127123.7184758261,404925.7587186126,60253.0,29.0,277802.0
PAK,2018,207534.0,284991.4673084844,0.62562742660577,136773.2107576133,433209.7238593554,77457.0,37.0,296437.0
PAK,2019,,300374.2312964706,0.7264275392100226,140661.3440216451,460087.1185712962,,,319426.0
PAK,2020,,311717.4087270935,0.8529512412144622,138653.7369630577,484781.0804911293,,,346127.0
PAK,2021,,318749.8687197021,1.004472254785743,130942.432781066,506557.3046583381,,,375615.0
PAK,2022,,321391.8772059376,1.178346810655674,117978.094458244,524805.6599536312,,,406828.0
PAK,2023,,319749.3088056009,1.370177010729335,100402.0814636083,539096.5361475935,,,438694.0
PHL,2017,8521.0,6044.583063539872,0.7395126482546606,-23692.67775860643,35781.84388568618,2476.0,29.0,59475.0
PHL,2018,4301.000000000001,6646.857053920225,0.8582388689970686,-25388.69767066921,38682.41177850967,2346.0,55.0,64071.0
PHL,2019,,7022.526037801077,1.009290570135693,-27717.99011653166,41763.04219213382,,,69481.0
PHL,2020,,7245.234179723033,1.184439447590147,-30389.13062442561,44879.59898387167,,,75269.0
PHL,2021,,7387.516255069671,1.371264030633614,-33106.29935622626,47881.33186636561,,,80988.0
PHL,2022,,7507.768958943205,1.555816736236701,-35625.00389681898,50640.54181470539,,,86266.0
PHL,2023,,7644.156132362572,1.725501956067065,-37779.89738062748,53068.20964535262,,,90848.0
SDN,2017,746699.0,706265.9097838443,0.6316677385094763,488428.2518087538,924103.5677589347,40433.0,5.0,435675.0
SDN,2018,792127.0,697028.7772603566,0.7775095377396569,455348.3536334056,938709.2008873076,95098.0,12.0,483361.0
